"timestamp","model","command","latency_s","parsed_ok","tokens_in","tokens_out","tokens_total","json","raw"
"2025-08-30T15:09:51","openai/gpt-5","Go to the charging station","10.138","1","86","362","448","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Unknown location for 'charging station'; provide coordinates or a known map label/ID.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Unknown location for 'charging station'; provide coordinates or a known map label/ID.""}"
"2025-08-30T15:09:56","openai/gpt-5","Go to the charging station","5.528","1","86","295","381","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Charging station location is unknown. Provide target coordinates or station ID/name.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Charging station location is unknown. Provide target coordinates or station ID/name.""}"
"2025-08-30T15:10:05","openai/gpt-5","Go to the charging station","8.704","1","86","554","640","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""Charging station location not specified; provide coordinates or station name/ID""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""Charging station location not specified; provide coordinates or station name/ID""}"
"2025-08-30T15:10:30","openai/gpt-5","Move to the docking station","11.736","1","86","808","894","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""Docking station location unknown. Provide coordinates or identifier.""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""Docking station location unknown. Provide coordinates or identifier.""}"
"2025-08-30T15:10:40","openai/gpt-5","Move to the docking station","10.233","1","86","620","706","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""Docking station location not specified. Provide coordinates or a known waypoint name.""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""Docking station location not specified. Provide coordinates or a known waypoint name.""}"
"2025-08-30T15:10:47","openai/gpt-5","Move to the docking station","6.711","1","86","486","572","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Docking station location unknown. Provide coordinates or identify the station.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Docking station location unknown. Provide coordinates or identify the station.""}"
"2025-08-30T15:11:02","openai/gpt-5","Go to the table","8.041","1","85","618","703","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Location of 'table' is unknown. Provide coordinates or a known label/ID.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Location of 'table' is unknown. Provide coordinates or a known label/ID.""}"
"2025-08-30T15:11:10","openai/gpt-5","Go to the table","7.832","1","85","358","443","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Ambiguous destination 'table'; specify which table or provide coordinates.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Ambiguous destination 'table'; specify which table or provide coordinates.""}"
"2025-08-30T15:11:17","openai/gpt-5","Go to the table","7.474","1","85","425","510","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""Which table should I go to or what are the coordinates?""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""Which table should I go to or what are the coordinates?""}"
"2025-08-30T15:11:39","openai/gpt-5","Go to the foldable chair","11.878","1","87","553","640","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Missing location for 'foldable chair'. Please provide its coordinates or unique ID.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Missing location for 'foldable chair'. Please provide its coordinates or unique ID.""}"
"2025-08-30T15:11:45","openai/gpt-5","Go to the foldable chair","5.531","1","87","366","453","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""Location of the foldable chair is unknown; please provide its coordinates or relative position.""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""Location of the foldable chair is unknown; please provide its coordinates or relative position.""}"
"2025-08-30T15:11:53","openai/gpt-5","Go to the foldable chair","7.781","1","87","297","384","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Unknown location of the foldable chair; please provide coordinates or a reference point.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Unknown location of the foldable chair; please provide coordinates or a reference point.""}"
"2025-08-30T15:12:09","openai/gpt-5","Head to the shelf near entry","7.884","1","87","360","447","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Which entry and which shelf? Provide x,y coordinates or a landmark ID.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Which entry and which shelf? Provide x,y coordinates or a landmark ID.""}"
"2025-08-30T15:12:17","openai/gpt-5","Head to the shelf near entry","7.988","1","87","434","521","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Ambiguous location: 'shelf near entry'. Please specify which entry and provide target x,y or a known landmark ID.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Ambiguous location: 'shelf near entry'. Please specify which entry and provide target x,y or a known landmark ID.""}"
