"timestamp","model","command","latency_s","parsed_ok","tokens_in","tokens_out","tokens_total","json","raw"
"2025-08-27T21:01:46","openai/gpt-5","Go to the charging station","10.24","1","86","424","510","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Charging station location is unspecified. Provide coordinates or identify which station to use.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Charging station location is unspecified. Provide coordinates or identify which station to use.""}"
"2025-08-27T21:01:59","openai/gpt-5","Go to the charging station","12.903","1","86","486","572","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Unknown charging station location; please provide coordinates or identify which station.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Unknown charging station location; please provide coordinates or identify which station.""}"
"2025-08-27T21:02:08","openai/gpt-5","Go to the charging station","8.91","1","86","355","441","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""charging station location unknown; please provide coordinates or identifier""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""charging station location unknown; please provide coordinates or identifier""}"
"2025-08-27T21:02:20","openai/gpt-5","Go to the charging station","12.283","1","86","489","575","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""No known coordinates for 'charging station'. Provide location or select a known station.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""No known coordinates for 'charging station'. Provide location or select a known station.""}"
"2025-08-27T21:02:30","openai/gpt-5","Go to the charging station","10.144","1","86","427","513","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Missing location: please provide the charging station coordinates (x,y) or a station identifier.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Missing location: please provide the charging station coordinates (x,y) or a station identifier.""}"
"2025-08-27T21:02:39","openai/gpt-5","Go to the charging station","8.728","1","86","424","510","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""No coordinates provided for 'charging station'; please specify goal (x,y).""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""No coordinates provided for 'charging station'; please specify goal (x,y).""}"
"2025-08-27T21:02:49","openai/gpt-5","Go to the charging station","9.602","1","86","428","514","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""Charging station location unknown. Please specify which station or provide x,y coordinates.""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""Charging station location unknown. Please specify which station or provide x,y coordinates.""}"
"2025-08-27T21:02:59","openai/gpt-5","Go to the charging station","9.986","1","86","358","444","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Charging station location not specified; provide coordinates or a known station name""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Charging station location not specified; provide coordinates or a known station name""}"
"2025-08-27T21:03:14","openai/gpt-5","Go to the charging station","15.0","1","86","621","707","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""Charging station location not provided. Please supply coordinates or a known station ID/name.""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""Charging station location not provided. Please supply coordinates or a known station ID/name.""}"
"2025-08-27T21:03:28","openai/gpt-5","Go to the charging station","14.028","1","86","486","572","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""Unknown charging station coordinates; please specify location.""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""Unknown charging station coordinates; please specify location.""}"
