"timestamp","model","command","latency_s","parsed_ok","tokens_in","tokens_out","tokens_total","json","raw"
"2025-08-28T04:33:28","openai/gpt-5","Go to the charging station","10.525","1","86","487","573","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Charging station location unknown; please provide its coordinates or select a station.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Charging station location unknown; please provide its coordinates or select a station.""}"
"2025-08-28T04:33:38","openai/gpt-5","Go to the charging station","9.499","1","86","302","388","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""Charging station location/coordinates not specified. Please provide goal coordinates or station ID/name.""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""Charging station location/coordinates not specified. Please provide goal coordinates or station ID/name.""}"
"2025-08-28T04:33:48","openai/gpt-5","Go to the charging station","10.354","1","86","427","513","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""Charging station coordinates not specified. Provide x,y or a station identifier.""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""Charging station coordinates not specified. Provide x,y or a station identifier.""}"
"2025-08-28T04:33:55","openai/gpt-5","Go to the charging station","6.948","1","86","294","380","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Charging station location unknown; provide coordinates or select a known station.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Charging station location unknown; provide coordinates or select a known station.""}"
"2025-08-28T04:34:08","openai/gpt-5","Go to the charging station","12.39","1","86","548","634","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Need charging station location (x,y) or identifier.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Need charging station location (x,y) or identifier.""}"
"2025-08-28T04:34:16","openai/gpt-5","Go to the charging station","8.807","1","86","431","517","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""Which charging station should I go to? Please provide its coordinates or select a known station.""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""Which charging station should I go to? Please provide its coordinates or select a known station.""}"
"2025-08-28T04:34:27","openai/gpt-5","Go to the charging station","10.852","1","86","419","505","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Charging station location unknown; please provide goal coordinates.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Charging station location unknown; please provide goal coordinates.""}"
"2025-08-28T04:34:35","openai/gpt-5","Go to the charging station","7.74","1","86","294","380","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Unknown charging station location; provide coordinates or station ID/label.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Unknown charging station location; provide coordinates or station ID/label.""}"
"2025-08-28T04:34:45","openai/gpt-5","Go to the charging station","10.076","1","86","358","444","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Unknown charging station location; provide coordinates or a known waypoint ID.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Unknown charging station location; provide coordinates or a known waypoint ID.""}"
"2025-08-28T04:34:55","openai/gpt-5","Go to the charging station","9.555","1","86","429","515","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""Charging station location not specified; please provide coordinates or the station name/ID.""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""Charging station location not specified; please provide coordinates or the station name/ID.""}"
