"timestamp","model","command","latency_s","parsed_ok","tokens_in","tokens_out","tokens_total","json","raw"
"2025-08-28T18:29:29","openai/gpt-5","Go to the charging station","11.467","1","86","619","705","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""Need the charging station location (coordinates or unique ID) to navigate.""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""Need the charging station location (coordinates or unique ID) to navigate.""}"
"2025-08-28T18:29:42","openai/gpt-5","Go to the charging station","13.62","1","86","489","575","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""charging station location unknown; provide coordinates or station name/ID""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""charging station location unknown; provide coordinates or station name/ID""}"
"2025-08-28T18:29:50","openai/gpt-5","Go to the charging station","7.986","1","86","359","445","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Charging station location not specified; please provide coordinates or identify which station.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Charging station location not specified; please provide coordinates or identify which station.""}"
"2025-08-28T18:30:12","openai/gpt-5","Move to the docking station","10.153","1","86","429","515","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""Docking station location unknown. Provide x,y coordinates or a known location identifier.""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""Docking station location unknown. Provide x,y coordinates or a known location identifier.""}"
"2025-08-28T18:30:20","openai/gpt-5","Move to the docking station","8.096","1","86","359","445","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Docking station location unknown; please provide its coordinates or map identifier.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Docking station location unknown; please provide its coordinates or map identifier.""}"
"2025-08-28T18:30:27","openai/gpt-5","Move to the docking station","7.04","1","86","296","382","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Please provide the docking station location or ID; no dock coordinates are known.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Please provide the docking station location or ID; no dock coordinates are known.""}"
"2025-08-28T18:30:44","openai/gpt-5","Go to the table","7.427","1","85","427","512","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Ambiguous target: 'the table' not located. Provide coordinates or a unique identifier.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Ambiguous target: 'the table' not located. Provide coordinates or a unique identifier.""}"
"2025-08-28T18:30:55","openai/gpt-5","Go to the table","10.855","1","85","428","513","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Destination unclear—no coordinates or unique table specified. Please provide x,y or identify the table.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Destination unclear—no coordinates or unique table specified. Please provide x,y or identify the table.""}"
"2025-08-28T18:31:05","openai/gpt-5","Go to the table","9.933","1","85","497","582","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""Ambiguous: 'table' not located. Please specify which table or provide its coordinates/identifier.""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""Ambiguous: 'table' not located. Please specify which table or provide its coordinates/identifier.""}"
"2025-08-28T18:31:35","openai/gpt-5","Go to the foldable chair","8.766","1","87","367","454","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Unknown location for 'foldable chair'. Please specify which one and provide coordinates or mark it on the map.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Unknown location for 'foldable chair'. Please specify which one and provide coordinates or mark it on the map.""}"
"2025-08-28T18:31:50","openai/gpt-5","Go to the foldable chair","14.768","1","87","493","580","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""Ambiguous target 'foldable chair'; please provide coordinates or specify which one.""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""Ambiguous target 'foldable chair'; please provide coordinates or specify which one.""}"
"2025-08-28T18:31:59","openai/gpt-5","Go to the foldable chair","8.487","1","87","296","383","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Missing location for 'foldable chair'. Provide coordinates or a unique reference.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Missing location for 'foldable chair'. Provide coordinates or a unique reference.""}"
"2025-08-28T18:32:16","openai/gpt-5","Head to the shelf near entry","12.106","1","87","489","576","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Ambiguous: which entry and which shelf? Provide coordinates or a landmark ID.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Ambiguous: which entry and which shelf? Provide coordinates or a landmark ID.""}"
"2025-08-28T18:32:31","openai/gpt-5","Head to the shelf near entry","15.053","1","87","490","577","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Which entry do you mean, and what are the coordinates or ID of the shelf?""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Which entry do you mean, and what are the coordinates or ID of the shelf?""}"
"2025-08-28T18:32:44","openai/gpt-5","Head to the shelf near entry","13.006","1","87","560","647","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Ambiguous location: 'shelf near entry'. Which entry and which shelf? Provide coordinates or a unique label.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Ambiguous location: 'shelf near entry'. Which entry and which shelf? Provide coordinates or a unique label.""}"
"2025-08-28T18:32:49","anthropic/claude-3.7-sonnet","Go to the charging station","2.777","1","89","27","116","{""intent"": ""navigate"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Moving to charging station""}","{""intent"":""navigate"",""goal"":{""x"":0,""y"":0},""note"":""Moving to charging station""}"
"2025-08-28T18:32:52","anthropic/claude-3.7-sonnet","Go to the charging station","3.25","1","89","27","116","{""intent"": ""navigate"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Moving to charging station""}","{""intent"":""navigate"",""goal"":{""x"":0,""y"":0},""note"":""Moving to charging station""}"
"2025-08-28T18:32:55","anthropic/claude-3.7-sonnet","Go to the charging station","2.97","1","89","27","116","{""intent"": ""navigate"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Moving to charging station""}","{""intent"":""navigate"",""goal"":{""x"":0,""y"":0},""note"":""Moving to charging station""}"
"2025-08-28T18:33:01","anthropic/claude-3.7-sonnet","Move to the docking station","2.562","1","90","29","119","{""intent"": ""navigate"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Moving to the docking station""}","{""intent"":""navigate"",""goal"":{""x"":0,""y"":0},""note"":""Moving to the docking station""}"
"2025-08-28T18:33:04","anthropic/claude-3.7-sonnet","Move to the docking station","3.587","1","90","29","119","{""intent"": ""navigate"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Moving to the docking station""}","{""intent"":""navigate"",""goal"":{""x"":0,""y"":0},""note"":""Moving to the docking station""}"
"2025-08-28T18:33:06","anthropic/claude-3.7-sonnet","Move to the docking station","2.234","1","90","29","119","{""intent"": ""navigate"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Moving to the docking station""}","{""intent"":""navigate"",""goal"":{""x"":0,""y"":0},""note"":""Moving to the docking station""}"
"2025-08-28T18:33:11","anthropic/claude-3.7-sonnet","Go to the table","1.682","1","88","34","122","{""intent"": ""navigate"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Moving to the table. Need to determine exact coordinates.""}","{""intent"":""navigate"",""goal"":{""x"":0,""y"":0},""note"":""Moving to the table. Need to determine exact coordinates.""}"
"2025-08-28T18:33:14","anthropic/claude-3.7-sonnet","Go to the table","2.867","1","88","37","125","{""intent"": ""navigate"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Moving to the table, but need to know which table or its location""}","{""intent"":""navigate"",""goal"":{""x"":0,""y"":0},""note"":""Moving to the table, but need to know which table or its location""}"
