"timestamp","model","command","latency_s","parsed_ok","tokens_in","tokens_out","tokens_total","json","raw"
"2025-08-26T17:58:02","openai/gpt-5","go to the docking station","10.209","1","86","546","632","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Missing coordinates or identifier for the docking station.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Missing coordinates or identifier for the docking station.""}"
"2025-08-26T17:58:28","openai/gpt-5","I'm thirsty, get me water","13.228","1","87","561","648","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Missing details: specify water source (tap, fountain, bottled), temperature/size, and the pickup/delivery coordinates.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Missing details: specify water source (tap, fountain, bottled), temperature/size, and the pickup/delivery coordinates.""}"
"2025-08-26T17:58:30","openai/gpt-5-chat","go to the docking station","1.023","1","87","24","111","{""intent"": ""navigate"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Go to the docking station""}","{""intent"":""navigate"",""goal"":{""x"":0,""y"":0},""note"":""Go to the docking station""}"
"2025-08-26T17:58:32","openai/gpt-5-chat","I'm thirsty, get me water","1.131","1","88","22","110","{""intent"": ""fetch"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""User requests water""}","{""intent"":""fetch"",""goal"":{""x"":0,""y"":0},""note"":""User requests water""}"
"2025-08-26T17:58:35","openai/gpt-4o","go to the docking station","0.939","1","87","23","110","{""intent"": ""navigate"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""go to the docking station""}","{""intent"":""navigate"",""goal"":{""x"":0,""y"":0},""note"":""go to the docking station""}"
"2025-08-26T17:58:38","openai/gpt-4o","I'm thirsty, get me water","1.254","1","88","28","116","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""The location to get water is not specified.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""The location to get water is not specified.""}"
"2025-08-26T17:58:44","anthropic/claude-3.7-sonnet","go to the docking station","2.838","1","90","29","119","{""intent"": ""navigate"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Moving to the docking station""}","{""intent"":""navigate"",""goal"":{""x"":0,""y"":0},""note"":""Moving to the docking station""}"
"2025-08-26T17:58:51","anthropic/claude-3.7-sonnet","I'm thirsty, get me water","3.58","1","93","39","132","{""intent"": ""fetch"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""User wants water because they're thirsty. Need to locate water source.""}","{""intent"":""fetch"",""goal"":{""x"":0,""y"":0},""note"":""User wants water because they're thirsty. Need to locate water source.""}"
"2025-08-26T17:59:09","google/gemini-2.5-pro","go to the docking station","9.805","1","77","786","863","{""intent"": ""go_to"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""docking station""}","{""intent"":""go_to"",""goal"":{""x"":0,""y"":0},""note"":""docking station""}"
"2025-08-26T17:59:25","google/gemini-2.5-pro","I'm thirsty, get me water","8.738","1","80","670","750","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""I don't know where the water is.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""I don't know where the water is.""}"
"2025-08-26T17:59:30","mistralai/mistral-large-2411","go to the docking station","4.096","1","92","60","152","{""intent"": ""move"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""Docking station location unknown""}","```json
{
  ""intent"": ""move"",
  ""goal"": {
    ""x"": 0.0,
    ""y"": 0.0
  },
  ""note"": ""Docking station location unknown""
}
```"
"2025-08-26T17:59:34","mistralai/mistral-large-2411","I'm thirsty, get me water","1.639","1","96","47","143","{""intent"": ""get_drink"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""water""}","```json
{
  ""intent"": ""get_drink"",
  ""goal"": {""x"": 0, ""y"": 0},
  ""note"": ""water""
}
```"
"2025-08-26T17:59:38","qwen/qwen-2.5-72b-instruct","go to the docking station","2.458","1","89","24","113","{""intent"": ""navigate"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Docking station coordinates needed""}","{""intent"":""navigate"",""goal"":{""x"":0,""y"":0},""note"":""Docking station coordinates needed""}"
"2025-08-26T17:59:41","qwen/qwen-2.5-72b-instruct","I'm thirsty, get me water","1.433","1","91","23","114","{""intent"": ""fetch"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Get water for the user""}","{""intent"":""fetch"",""goal"":{""x"":0,""y"":0},""note"":""Get water for the user""}"
"2025-08-26T17:59:45","deepseek/deepseek-chat-v3.1","go to the docking station","1.74","1","83","34","117","{""intent"": ""navigate"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""docking station location assumed at origin; adjust coordinates as needed""}","{""intent"":""navigate"",""goal"":{""x"":0,""y"":0},""note"":""docking station location assumed at origin; adjust coordinates as needed""}"
"2025-08-26T18:00:04","deepseek/deepseek-chat-v3.1","I'm thirsty, get me water","2.662","1","85","25","110","{""intent"": ""fetch"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""bring water to user""}","{""intent"":""fetch"",""goal"":{""x"":0,""y"":0},""note"":""bring water to user""}"
