"timestamp","model","command","latency_s","parsed_ok","tokens_in","tokens_out","tokens_total","json","raw"
"2025-08-26T18:35:03","openai/gpt-5","Go to the charging station","8.417","1","86","424","510","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Destination 'charging station' lacks coordinates. Please provide its location or identifier.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Destination 'charging station' lacks coordinates. Please provide its location or identifier.""}"
"2025-08-26T18:35:10","openai/gpt-5","Go to the charging station","7.561","1","86","241","327","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Missing goal coordinates for 'charging station'. Please provide the charging station location (x,y) or select a known station.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Missing goal coordinates for 'charging station'. Please provide the charging station location (x,y) or select a known station.""}"
"2025-08-26T18:35:20","openai/gpt-5","Go to the charging station","9.918","1","86","231","317","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Charging station location not specified; please provide coordinates or a named station.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Charging station location not specified; please provide coordinates or a named station.""}"
"2025-08-26T18:35:30","openai/gpt-5","Go to the charging station","9.853","1","86","483","569","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""charging station location or ID needed""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""charging station location or ID needed""}"
"2025-08-26T18:35:43","openai/gpt-5","Go to the charging station","12.89","1","86","491","577","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Charging station location not specified. Provide coordinates (x,y) or a station ID/name.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Charging station location not specified. Provide coordinates (x,y) or a station ID/name.""}"
"2025-08-26T18:35:48","openai/gpt-5","Go to the charging station","5.12","1","86","360","446","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Charging station location not specified. Please provide the station ID or goal coordinates.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Charging station location not specified. Please provide the station ID or goal coordinates.""}"
"2025-08-26T18:35:57","openai/gpt-5","Go to the charging station","8.705","1","86","487","573","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Charging station location unknown—please provide coordinates or select a known station.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Charging station location unknown—please provide coordinates or select a known station.""}"
"2025-08-26T18:36:06","openai/gpt-5","Go to the charging station","9.624","1","86","422","508","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Which charging station? Please provide coordinates or a known station ID.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Which charging station? Please provide coordinates or a known station ID.""}"
"2025-08-26T18:36:17","openai/gpt-5","Go to the charging station","10.752","1","86","617","703","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""Charging station location not specified; provide coordinates or station identifier.""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""Charging station location not specified; provide coordinates or station identifier.""}"
"2025-08-26T18:36:27","openai/gpt-5","Go to the charging station","10.002","1","86","493","579","{""intent"": ""clarify"", ""goal"": {""x"": 0.0, ""y"": 0.0}, ""note"": ""Charging station location unknown. Please provide target coordinates or specify which station to use.""}","{""intent"":""clarify"",""goal"":{""x"":0.0,""y"":0.0},""note"":""Charging station location unknown. Please provide target coordinates or specify which station to use.""}"
"2025-08-26T18:36:57","openai/gpt-5","Move to the docking station","11.366","1","86","357","443","{""intent"": ""clarify"", ""goal"": {""x"": 0, ""y"": 0}, ""note"": ""Docking station location unknown; provide coordinates or station identifier.""}","{""intent"":""clarify"",""goal"":{""x"":0,""y"":0},""note"":""Docking station location unknown; provide coordinates or station identifier.""}"
